days	temp	pHcalc_insitu
9788	26,705	8,0424
9812	27,094	8,0536
9856		
9874	26,101	8,0639
9905	25,864	8,067
9930	25,754	8,0711
9965	24,974	8,0818
9993	24,566	8,0814
10021	24,349	8,0832
10058	24,409	8,0779
10102	25,839	8,0642
10146	25,852	8,0581
10175	26,196	8,0572
10242	26,237	8,0551
10284	24,968	8,0676
10342	23,607	8,0702
10372	23,624	8,0742
10406	24,32	8,0775
10434	25,023	8,0652
10462	25,279	8,0634
10490	26,213	8,0511
10539	27,089	8,0494
10598	26,838	8,0517
10631	26,105	8,0622
10665	24,048	8,0811
10701	24,237	
10740	23,07	8,0803
10791	23,497	8,0816
10819	24,242	8,0758
10861	25,916	8,0541
10889	25,836	8,0548
10937	27,18	8,0403
10969	26,57	8,0576
11004	25,578	8,0608
11028	24,605	
